Height [mm],Radius [mm],Freq [GHz],S11 [dB]
10.0,8.0,5.699999999999964,-3.46501143173639
10.0,8.0,5.719999999999963,-3.42992118014952
10.0,8.0,5.739999999999963,-3.34828020552444
10.0,8.0,5.7599999999999625,-3.31258003911894
10.0,8.0,5.779999999999962,-3.25773942273487
10.0,8.0,5.799999999999962,-3.20540194560047
10.0,8.0,5.819999999999961,-3.15552448032089
10.0,8.0,5.839999999999961,-3.10805970451331
10.0,8.0,5.85999999999996,-3.04791415144405
10.0,8.0,5.87999999999996,-3.02015950012793
10.0,8.0,5.8999999999999595,-2.97961094266121
10.0,8.0,5.919999999999959,-2.94124953939686
10.0,8.0,5.939999999999959,-2.90501163155156
10.0,8.0,5.959999999999958,-2.87083145423276
10.0,8.0,5.979999999999958,-2.83864155705303
10.0,8.0,5.999999999999957,-2.80837322217705
10.0,8.0,6.019999999999957,-2.77995687286308
10.0,8.0,6.0399999999999565,-2.75332246658239
10.0,8.0,6.059999999999956,-2.72839986785279
10.0,8.0,6.079999999999956,-2.70511919696826
10.0,8.0,6.099999999999955,-2.68341115181427
10.0,8.0,6.119999999999955,-2.66320730090258
10.0,8.0,6.139999999999954,-2.64444034662251
10.0,8.0,6.159999999999954,-2.62704435847423
10.0,8.0,6.1799999999999535,-2.61095497671894
10.0,8.0,6.199999999999953,-2.59610958744768
10.0,8.0,6.219999999999953,-2.5824474705382
10.0,8.0,6.239999999999952,-2.5824474705382
10.0,8.0,6.259999999999952,-2.55844035524185
10.0,8.0,6.279999999999951,-2.55844035524185
10.0,8.0,6.299999999999951,-2.53848984820397
10.0,8.0,6.3199999999999505,-2.52990693302707
10.0,8.0,6.33999999999995,-2.52218812482289
10.0,8.0,6.35999999999995,-2.51528827032259
10.0,8.0,6.379999999999949,-2.51528827032259
10.0,8.0,6.399999999999949,-2.50377664816081
10.0,8.0,6.419999999999948,-2.49908643457874
10.0,8.0,6.439999999999948,-2.4950582938296
10.0,8.0,6.459999999999948,-2.49165897127208
10.0,8.0,6.479999999999947,-2.4888576183746
10.0,8.0,6.499999999999947,-2.48662581323615
10.0,8.0,6.519999999999946,-2.48493759130783
10.0,8.0,6.539999999999946,-2.48493759130783
10.0,8.0,6.559999999999945,-2.48310060312811
10.0,8.0,6.579999999999945,-2.48291266881166
10.0,8.0,6.599999999999945,-2.48319015966898
10.0,8.0,6.619999999999944,-2.48392041315737
10.0,8.0,6.639999999999944,-2.48509378525182
10.0,8.0,6.659999999999943,-2.48874756850039
10.0,8.0,6.679999999999943,-2.48874756850039
