"height [mm]","radius [mm]","Freq [GHz]","dB(S(1,1)) []"
9,7,5.44360902255639,-8.66034910775505
9,7,5.46365914786967,-8.64244937524216
9,7,5.48370927318296,-8.62088828957713
9,7,5.50375939849624,-8.5957506297694
9,7,5.52380952380952,-8.56710673002354
9,7,5.54385964912281,-8.53501268294798
9,7,5.56390977443609,-8.49951082653965
9,7,5.58395989974937,-8.46063050023203
9,7,5.60401002506266,-8.4183890548887
9,7,5.62406015037594,-8.3727931010601
9,7,5.64411027568922,-8.32383997892507
9,7,5.66416040100251,-8.27151943197821
9,7,5.68421052631579,-8.21581546461181
9,7,5.70426065162907,-8.15670836125427
9,7,5.72431077694236,-8.09417684168675
9,7,5.74436090225564,-8.02820032365851
9,7,5.76441102756892,-7.95876126010076
9,7,5.78446115288221,-7.88584751430265
9,7,5.80451127819549,-7.80945473260069
9,7,5.82456140350877,-7.72958867073198
9,7,5.84461152882206,-7.6462674273059
9,7,5.86466165413534,-7.55952353615785
9,7,5.88471177944862,-7.4694058689357
9,7,5.90476190476191,-7.37598130036575
9,7,5.92481203007519,-7.27933609140163
9,7,5.94486215538847,-7.17957694995614
9,7,5.96491228070175,-7.07683173511694
9,7,5.98496240601504,-6.97124977851552
9,7,6.00501253132832,-6.86300180561711
9,7,6.0250626566416,-6.75227944978912
9,7,6.04511278195489,-6.63929436268791
9,7,6.06516290726817,-6.52427693532009
9,7,6.08521303258145,-6.4074746546261
9,7,6.10526315789474,-6.28915013014881
9,7,6.12531328320802,-6.16957883388387
9,7,6.1453634085213,-6.04904660343163
9,7,6.16541353383459,-5.92784696383962
9,7,6.18546365914787,-5.80627832688703
9,7,6.20551378446115,-5.68464112797879
9,7,6.22556390977444,-5.56323496032822
9,7,6.24561403508772,-5.44235576384119
9,7,6.265664160401,-5.32229312226721
9,7,6.28571428571429,-5.20332771699841
9,7,6.30576441102757,-5.08572897964457
9,7,6.32581453634085,-4.96975297848498
9,7,6.34586466165413,-4.85564056638549
9,7,6.36591478696742,-4.74361581004317
9,7,6.3859649122807,-4.63388471274641
9,7,6.40601503759398,-4.52663423543746
9,7,6.42606516290727,-4.42203161394132
9,7,6.44611528822055,-4.3202239639353
9,7,6.46616541353383,-4.22133815970941
9,7,6.48621553884712,-4.12548096809762
9,7,6.5062656641604,-4.03273941519453
9,7,6.52631578947368,-3.94318136063508
9,7,6.54636591478697,-3.85685625229431
9,7,6.56641604010025,-3.77379603321596
9,7,6.58646616541353,-3.69401617234243
9,7,6.60651629072682,-3.61751679111081
9,7,6.6265664160401,-3.54428385909636
9,7,6.64661654135338,-3.47429043352529
9,7,6.66666666666667,-3.40749791952609
9,7,6.68671679197995,-3.34385733033383
9,7,6.70676691729323,-3.28331052919653
9,7,6.72681704260652,-3.22579143736223
9,7,6.7468671679198,-3.17122719515793
9,7,6.76691729323308,-3.11953926573566
9,7,6.78696741854637,-3.07064447349722
9,7,6.80701754385965,-3.02445597146581
9,7,6.82706766917293,-2.98088413392227
9,7,6.84711779448622,-2.93983737244179
9,7,6.8671679197995,-2.90122287504356
9,7,6.88721804511278,-2.86494726950232
9,7,6.90726817042607,-2.83091721297288
9,7,6.92731829573935,-2.79903991095983
9,7,6.94736842105263,-2.76922356934091
9,7,6.96741854636592,-2.74137778364802
9,7,6.9874686716792,-2.71541387014012
9,7,7.00751879699248,-2.69124514339546
9,7,7.02756892230577,-2.66878714522526
9,7,7.04761904761905,-2.64795782968852
9,7,7.06766917293233,-2.62867770888759
9,7,7.08771929824561,-2.610869964065
9,7,7.1077694235589,-2.59446052631768
9,7,7.12781954887218,-2.57937813100958
9,7,7.14786967418546,-2.56555434971082
9,7,7.16791979949875,-2.55292360322845
9,7,7.18796992481203,-2.54142315902972
9,7,7.20802005012531,-2.53099311610088
9,7,7.2280701754386,-2.52157638003776
9,7,7.24812030075188,-2.51311863093098
9,7,7.26817042606516,-2.5055682863946
9,7,7.28822055137845,-2.49887646189272
9,7,7.30827067669173,-2.4929969303454
9,7,7.32832080200501,-2.48788608284569
9,7,7.3483709273183,-2.48350289219288
9,7,7.36842105263158,-2.47980888084382
9,7,7.38847117794486,-2.47676809480578
9,7,7.40852130325815,-2.47434708493896
9,7,7.42857142857143,-2.47251489710567
9,7,7.44862155388471,-2.47124307259716
9,7,7.468671679198,-2.47050566028503
9,7,7.48872180451128,-2.47027924198747
9,7,7.50877192982456,-2.47054297260602
9,7,7.52882205513784,-2.4712786366817
9,7,7.54887218045113,-2.4724707231357
9,7,7.56892230576441,-2.47410652010701
9,7,7.58897243107769,-2.4761762319698
9,7,7.60902255639098,-2.47867312081658
9,7,7.62907268170426,-2.48159367492396
9,7,7.64912280701754,-2.48493780698115
9,7,7.66917293233083,-2.48870908515614
9,7,7.68922305764411,-2.49291500040275
9,7,7.70927318295739,-2.49756727377399
9,7,7.72932330827068,-2.50268220790069
9,7,7.74937343358396,-2.50828108722404
9,7,7.76942355889724,-2.51439063202614
9,7,7.78947368421053,-2.52104351178717
9,7,7.80952380952381,-2.52827892390044
9,7,7.82957393483709,-2.53614324429063
9,7,7.84962406015038,-2.54469075698974
9,7,7.86967418546366,-2.5539844702147
9,7,7.88972431077694,-2.56409702693372
9,7,7.90977443609022,-2.57511171826907
9,7,7.92982456140351,-2.58712360832771
9,7,7.94987468671679,-2.60024077911253
9,7,7.96992481203007,-2.614585703986
9,7,7.98997493734336,-2.63029675764217
9,7,8.01002506265664,-2.64752986959022
9,7,8.03007518796992,-2.6664603266351
9,7,8.05012531328321,-2.68728472760657
9,7,8.07017543859649,-2.71022309046664
9,7,8.09022556390977,-2.73552110771976
9,7,8.11027568922306,-2.76345254054924
9,7,8.13032581453634,-2.79432173509128
9,7,8.15037593984962,-2.82846623552614
9,7,8.17042606516291,-2.86625945804202
9,7,8.19047619047619,-2.90811337711268
9,7,8.21052631578947,-2.95448116094503
9,7,8.23057644110276,-3.005859676601
9,7,8.25062656641604,-3.06279176765819
9,7,8.27067669172932,-3.12586818916278
9,7,8.29072681704261,-3.1957290673327
9,7,8.31077694235589,-3.2730647368073
